"super_code","j_code","start_date","end_date","count"
"HC7","124820","2021/10/1","2021/10/31","68"
"HC7","124850","2021/10/1","2021/10/31","0"
"HC7","124950","2021/10/1","2021/10/31","5,877"
"KS3","124990","2021/10/1","2021/10/31","0"
"PS2","124990","2021/10/1","2021/10/31","0"
"PSO","124990","2021/10/1","2021/10/31","532"
"UTK","125050","2021/10/1","2021/10/31","196"
"HC7","125070","2021/10/1","2021/10/31","1,541"
"HC7","125190","2021/10/1","2021/10/31","496"
"HC7","125200","2021/10/1","2021/10/31","1,154"
"HC7","125380","2021/10/1","2021/10/31","1,411"
"HC7","125400","2021/10/1","2021/10/31","33"
"HC7","125570","2021/10/1","2021/10/31","456"
"HC7","125580","2021/10/1","2021/10/31","72"
"HC7","125610","2021/10/1","2021/10/31","23"
"HC7","125620","2021/10/1","2021/10/31","264"
"HC7","125640","2021/10/1","2021/10/31","0"
"HC7","125660","2021/10/1","2021/10/31","59"
"HC7","125710","2021/10/1","2021/10/31","70"
"HC7","125720","2021/10/1","2021/10/31","192"
"HC7","125760","2021/10/1","2021/10/31","93"
"HC7","125970","2021/10/1","2021/10/31","936"
"HC7","126970","2021/10/1","2021/10/31","25"
"BIS","127490","2021/10/1","2021/10/31","101"
"H06","127490","2021/10/1","2021/10/31","0"
"H07","127490","2021/10/1","2021/10/31","0"
"M24","127490","2021/10/1","2021/10/31","0"
"WIN","127490","2021/10/1","2021/10/31","0"
"KIC","127690","2021/10/1","2021/10/31","0"
"PS2","127690","2021/10/1","2021/10/31","0"
"PSO","127690","2021/10/1","2021/10/31","332"
"SZS","127690","2021/10/1","2021/10/31","6"
"MWS","127730","2021/10/1","2021/10/31","441"
"OHR","127730","2021/10/1","2021/10/31","0"
"GRH","127760","2021/10/1","2021/10/31","171"
"HC7","129030","2021/10/1","2021/10/31","3,975"
"BCC","130000","2021/10/1","2021/10/31","6"
"I10","130000","2021/10/1","2021/10/31","0"
"PLG","130000","2021/10/1","2021/10/31","677"
"YDE","130000","2021/10/1","2021/10/31","13"
"JID","132830","2021/10/1","2021/10/31","0"
"MS2","133240","2021/10/1","2021/10/31","357"
"PS2","133240","2021/10/1","2021/10/31","0"
"S30","133240","2021/10/1","2021/10/31","0"
"SN4","133320","2021/10/1","2021/10/31","0"
"SN4","133820","2021/10/1","2021/10/31","0"
"PS2","135370","2021/10/1","2021/10/31","0"
"BIS","135450","2021/10/1","2021/10/31","1,162"
"YYK","135620","2021/10/1","2021/10/31","0"
"TOB","137260","2021/10/1","2021/10/31","9,572"
"NTN","137520","2021/10/1","2021/10/31","400"
"NTN","144080","2021/10/1","2021/10/31","463"
"NWT","144860","2021/10/1","2021/10/31","0"
"NTN","144870","2021/10/1","2021/10/31","8"
"ADG","151370","2021/10/1","2021/10/31","0"
"IZU","155060","2021/10/1","2021/10/31","0"
"S31","155060","2021/10/1","2021/10/31","0"
"TJY","155390","2021/10/1","2021/10/31","497"
"NTN","155800","2021/10/1","2021/10/31","36"
"NWT","155800","2021/10/1","2021/10/31","82"
"OZK","156440","2021/10/1","2021/10/31","345"
"R01","157130","2021/10/1","2021/10/31","0"
"TJY","157130","2021/10/1","2021/10/31","1"
"AFD","158370","2021/10/1","2021/10/31","0"
"AFD","158540","2021/10/1","2021/10/31","0"
"S30","158540","2021/10/1","2021/10/31","0"
"KEH","158610","2021/10/1","2021/10/31","0"
